generation,rank,weights,fitness,avg_sat,cond_rate,avg_mono
12,4,"[8, 6, 4, 1]",0.5965333333333334,0.5442222222222222,0.9,0.0
12,5,"[8, 4, 3, 0]",0.5934285714285714,0.5366666666666666,0.9047619047619048,0.0
12,6,"[8, 7, 1, 0]",0.5873666666666666,0.5414444444444444,0.875,0.0
12,7,"[8, 6, 4, 0]",0.5869,0.5406666666666666,0.875,0.0
12,8,"[8, 5, 4, 0]",0.5829,0.534,0.875,0.0
12,9,"[8, 5, 5, 0]",0.5822095238095237,0.5417777777777778,0.8571428571428571,0.0
12,10,"[8, 6, 1, 0]",0.5772315789473683,0.5409999999999999,0.8421052631578947,0.0
12,11,"[8, 5, 4, 0]",0.5704588235294118,0.539,0.8235294117647058,0.0
12,12,"[8, 6, 1, 0]",0.5704588235294117,0.5389999999999999,0.8235294117647058,0.0
12,13,"[8, 5, 4, 0]",0.5588,0.5313333333333333,0.8,0.0
12,14,"[8, 5, 4, 0]",0.5563333333333333,0.5383333333333333,0.7777777777777778,0.0
12,15,"[8, 6, 1, 0]",0.5414526315789473,0.5339999999999999,0.7368421052631579,0.0
13,1,"[8, 6, 4, 0]",0.6273333333333333,0.5455555555555555,1.0,0.0
13,2,"[8, 6, 4, 1]",0.6244,0.5406666666666666,1.0,0.0
13,3,"[8, 6, 4, 1]",0.6238666666666666,0.5397777777777777,1.0,0.0
13,4,"[10, 6, 1, 0]",0.6012,0.5353333333333333,0.9333333333333333,0.0
13,5,"[8, 6, 4, 0]",0.5986,0.5476666666666666,0.9,0.0
13,6,"[8, 6, 4, 0]",0.5936666666666667,0.545,0.8888888888888888,0.0
13,7,"[12, 6, 4, 0]",0.591660606060606,0.5315555555555556,0.9090909090909091,0.0
13,8,"[8, 6, 4, 0]",0.5837333333333333,0.5395555555555556,0.8666666666666667,0.0
13,9,"[7, 6, 4, 0]",0.5745333333333333,0.5408888888888889,0.8333333333333334,0.0
